"REGION","CLIENTE","SUCURSAL","MODELO","NUM_SERIE","L/F","STATUS"
"NOROESTE","Heineken","TIJUANA LA MESA","KUAN CANVAS","K212-8808220178","L","Activo"
"GOLFO / SURESTE","Heineken","TIZIMIN","BCS-160","GA22071290","F","Activo"
"GOLFO / SURESTE","Heineken","TIZIMIN","KUAN CANVAS","K212-8812210108","F","Activo"
"METRO","Heineken","TLAHUELILPAN","KUAN CANVAS","K212-8812210084","F","Activo"
"GUERRERO","Heineken","TLAPA","CY-I50","CY-I501Y20250606040","F","Activo"
"GUERRERO","Heineken","TLAPA","BEAM CANVAS","B1312-8810230800","F","Activo"
"METRO","Heineken","TOLUCA","KUAN CANVAS","K4-9661119","F","Activo"
"METRO","Heineken","TOLUCA","KUAN CANVAS","K4-9641119","F","Activo"
"METRO","Heineken","TULANCINGO","CY-I50","CY-I501Y20250804019","F","Activo"
"METRO","Heineken","TULANCINGO","BEAM CANVAS","B1312-8810230817","F","Activo"
"GOLFO / SURESTE","Heineken","VALLADOLID","KUAN CANVAS","K4-9801119","F","Activo"
"METRO","Heineken","VALLEJO","CY-I50","CY-I501Y20250606003","L","Activo"
"METRO","Heineken","VALLEJO","CY-I50","CY-I501Y20250606004","L","Activo"
"METRO","Heineken","VALLEJO","KUAN CANVAS","K2212-8808230398","L","Activo"
"METRO","Heineken","VALLEJO","KUAN CANVAS","K2212-8808230396","L","Activo"
"METRO","Heineken","VALLEJO","KUAN CANVAS","K2212-8808230397","L","Activo"
"NORESTE","Heineken","VICENTE GUERRERO","BEAM CANVAS","B1312-8808230736","F","Activo"
"NORESTE","Heineken","VICENTE GUERRERO","CY-I50","CY-I501Y20250804004","F","Activo"
"NORESTE","Heineken","VILLA DE SANTIAGO","KUAN CANVAS","K4-9591119","F","Activo"
"GOLFO / SURESTE","Heineken","VILLAHERMOSA","CY-I50","CY-I501Y2025080421","L","Activo"
"GOLFO / SURESTE","Heineken","VILLAHERMOSA","KUAN CANVAS","K212-8806220128","L","Activo"
"GOLFO / SURESTE","Heineken","VILLAHERMOSA","KUAN CANVAS","K212-8807220150","L","Activo"
"BAJIO","Heineken","ZACATECAS","BCS-160","GA22080315","F","Activo"
"BAJIO","Heineken","ZACATECAS","KUAN CANVAS","K212-8812210068","F","Activo"
"METRO","Heineken","ZACATLAN","CY-I50","CY-I501Y20250606022","F","Activo"
"METRO","Heineken","ZACATLAN","BEAM CANVAS","B1312-8810230818","F","Activo"
"GUERRERO","Heineken","ZIHUATANEJO","CY-I50","CY-I501Y20250606038","F","Activo"
"GUERRERO","Heineken","ZIHUATANEJO","BEAM CANVAS","B1312-8808230729","F","Activo"
"NOROESTE","Heineken","MEXICALI","KUAN CANVAS","K4-9601119","l","Activo"
"Metro","VALERO","AVION","Beam Canvas","B1312-8808230707","F","Activo"
"Metro","VALERO","LA LOMA","Beam Canvas","B1312-8810230824","F","Activo"
"Metro","VALERO","BENSAA","Beam Canvas","B1312-8808230703","F","Activo"
"Metro","VALERO","HENRIQUEZ","Beam Canvas","B1312-8808230702","F","Activo"
"Metro","HIDROCARBUROS","MINERAL","Beam Canvas","B1312-8808230701","F","Activo"
"Metro","VALERO","TLAHUELIPAN","Beam Canvas","B1312-8808230706","F","Activo"
"Metro","SERVICIO_CHICONAUTLA","ECATEPEC","Beam Canvas","B1312-8808230704","L","Activo"
"Metro","DISTRIBUIDORA_LA_PAZ","VILLA DEL CARBON","Kuan Canvas","K212-8812210050","F","Baja"
"Metro","CECAPIEM","PACHUCA","Beam Canvas","B1312-8810230807","F","Activo"
"METRO","G500","SERVICIOS MENA","KUAN CANVAS","K2212-8808230360","L","Activo"
"METRO","SERVICIOS_XOCOTLAN","TEXCOCO","BEAM SELLADOR","B1-000324","L","Activo"
"METRO","G500","EL MOLINO","BEAM CANVAS","B1312-8808230722","L","Activo"
"METRO","G500","JOPEL","BEAM CANVAS","B1312-8808230725","L","Activo"
